Star					Grp	SpType		 Vmag	e_Vmag	 V-J	 e_V-J	Dist	e_Dist	 VMAG	e_VMAG	  _RA		  _DE
HS Psc                 	AB	K5V        	10.855	 0.060	 2.426	 0.064	38.700	 1.700	 7.916	 0.200	024.34679	+26.95336
HD 35650               	AB	K6Vke      	 9.144	 0.021	 2.442	 0.028	18.002	 0.298	 7.867	 0.075	081.12571	-38.96967
HD 160934              	AB	K8V        	10.149	 0.044	 2.531	 0.050	33.124	 2.194	 7.549	 0.291	264.66512	+61.23778
HD 217379              	AB	K5Vke    	 9.631	 0.020	 2.583	 0.027	30.544	 1.894	 7.206	 0.270	345.11646	-26.31189
BD+05 4576             	AB	K7V        	10.518	 0.077	 2.596	 0.079	41.200	 1.900	 7.443	 0.214	309.97750	+06.33664
V493 And               	AB	K5V        	11.095	 0.050	 2.614	 0.056	51.800	 2.300	 7.523	 0.199	008.53512	+25.39719
HD 139751              	AB	K4V      	10.372	 0.082	 2.643	 0.088	40.193	 1.115	 7.351	 0.146	235.11829	-18.69617
TYC 4943-192-1         	AB	M0Ve       	11.373	 0.020	 2.702	 0.039	46.400	 2.100	 8.040	 0.198	183.82662	-02.62453
HIP 81084              	AB	K9Vkee     	11.280	 0.030	 2.903	 0.037	30.675	 2.324	 8.846	 0.330	248.42337	-09.55331
HD 21845B              	AB	M0V        	11.286	 0.081	 2.904	 0.085	34.388	 1.206	 8.604	 0.173	053.30854	+46.25528
2MASS J20465795-0259320	AB	M0V        	12.057	 0.050	 2.935	 0.056	47.000	 2.000	 8.697	 0.191	311.74158	-02.99225
2MASS J04571728-0621564	AB	M3V      	12.460	 0.040	 2.951	 0.046	49.000	 3.000	 9.009	 0.269	074.32204	-06.36572
2MASS J05531299-4505119	AB	M0Ve       	11.630	 0.010	 3.034	 0.032	34.000	 4.000	 8.973	 0.511	088.30412	-45.08664
CD-35 2722             	AB	M1Ve       	10.980	 0.010	 3.060	 0.025	21.300	 1.400	 9.338	 0.286	092.33004	-35.82531
GJ 9809                	AB	M3V      	10.922	 0.088	 3.107	 0.091	24.504	 0.961	 8.976	 0.192	346.52017	+63.92622
GJ 490A                	AB	M0V        	10.557	 0.012	 3.156	 0.022	19.257	 1.112	 9.134	 0.251	194.41775	+35.22500
HD 218860B             	AB	M3Ve       	13.000	 0.100	 3.276	 0.103	49.358	 2.753	 9.533	 0.262	347.97342	-45.13344
2MASS J04554034-1917553	AB	M3V      	13.087	 0.030	 3.309	 0.037	49.000	 4.000	 9.636	 0.356	073.91812	-19.29875
2MASS J01484087-4830519	AB	M3V      	12.568	 0.030	 3.374	 0.040	36.000	 2.000	 9.786	 0.243	027.17033	-48.51444
2MASS J05240991-4223054	AB	M3V      	14.000	 0.100	 3.417	 0.102	52.000	 9.000	10.420	 0.758	081.04129	-42.38486
V372 Pup               	AB	M3V+M3V	10.074	 0.052	 3.459	 0.057	15.694	 0.433	 9.096	 0.131	112.21404	-30.24681
GJ 393                 	AB	M2V        	 9.655	 0.008	 3.479	 0.022	 7.067	 0.111	10.409	 0.069	157.23146	+00.84100
2MASS J15244849-4929473	AB	M2V        	11.643	 0.020	 3.487	 0.033	23.000	 1.000	 9.834	 0.190	231.20204	-49.49656
2MASS J12383713-2703348	AB	M3V      	12.439	 0.030	 3.711	 0.046	25.000	 1.000	10.449	 0.176	189.65471	-27.05967
HIP 17695              	AB	M3Vkee   	11.599	 0.070	 3.755	 0.075	16.129	 0.749	10.521	 0.214	056.84725	-01.97219
2MASS J23513366+3127229	AB	M2V+L0   	13.602	 0.060	 3.781	 0.064	42.000	 2.000	10.486	 0.215	357.89029	+31.45639
GJ 856                 	AB	M0Ve       	10.762	 0.030	 3.864	 0.036	15.511	 1.561	 9.809	 0.438	335.87125	+32.45942
GU Psc                 	AB	M3Ve       	14.103	 0.060	 3.892	 0.064	48.000	 2.000	10.697	 0.191	018.14600	+17.06547
GJ 4231                	AB	M3V      	12.141	 0.010	 3.893	 0.028	30.497	 5.255	 9.720	 0.748	328.04342	+05.62664
TYC 5899-26-1          	AB	M4V      	11.639	 0.050	 3.899	 0.054	16.300	 0.400	10.578	 0.118	073.10171	-16.82278
GJ 2036A               	AB	M3Ve       	11.160	 0.010	 3.963	 0.029	11.109	 0.244	10.932	 0.096	073.38004	-55.86033
2MASS J23320018-3917368	AB	M3V        	12.924	 0.050	 4.023	 0.058	23.000	 1.000	11.115	 0.195	353.00067	-39.29361
2MASS J05254166-0909123	AB	M4V+M4V	12.569	 0.020	 4.115	 0.033	20.700	 2.200	10.989	 0.462	081.42362	-09.15350
2MASS J01225093-2439505	AB	M4V      	14.244	 0.070	 4.160	 0.075	33.000	 1.000	11.651	 0.149	020.71225	-24.66406
2MASS J06255610-6003273	AB	M3V        	12.302	 0.020	 4.208	 0.033	14.100	 1.500	11.556	 0.462	096.48375	-60.05753
GJ 490B                	AB	M5V      	13.120	 0.100	 4.248	 0.106	19.257	 1.112	11.697	 0.270	194.41383	+35.22197
2MASS J04141730-0906544	AB	M5V      	13.884	 0.070	 4.254	 0.074	23.800	 1.400	12.001	 0.265	063.57212	-09.11517
2MASS J08471906-5717547	AB	M4V        	13.697	 0.020	 4.290	 0.031	22.000	 2.000	11.985	 0.395	131.82942	-57.29853
2MASS J11254754-4410267	AB	M4V        	14.634	 0.020	 4.293	 0.033	49.000	 3.000	11.183	 0.267	171.44812	-44.17411
GJ 2036B               	AB	M3Ve       	12.100	 0.100	 4.305	 0.102	11.109	 0.244	11.872	 0.138	073.37725	-55.85881
2MASS J02070786-1810077	AB	M4V        	15.020	 0.010	 4.322	 0.026	38.000	 2.000	12.121	 0.229	031.78275	-18.16883
2MASS J21471964-4803166	AB	M4V        	15.070	 0.030	 4.336	 0.037	67.000	 3.000	10.940	 0.197	326.83187	-48.05464
GJ 2022AC              	AB	M4Ve     	13.560	 0.040	 4.357	 0.054	25.316	 0.820	11.543	 0.146	021.11533	-33.91906
2MASS J16074132-1103073	AB	M4V        	14.231	 0.010	 4.414	 0.025	36.000	 2.000	11.449	 0.242	241.92217	-11.05214
2MASS J04363294-7851021	AB	M4V        	15.483	 0.010	 4.506	 0.025	56.000	 5.000	11.742	 0.388	069.13729	-78.85058
2MASS J21464282-8543046	AB	M4V      	13.409	 0.040	 4.565	 0.046	18.000	 1.000	12.133	 0.245	326.67679	-85.71783
GJ 3270                	AB	M4Ve     	13.840	 0.020	 4.810	 0.033	13.648	 0.237	13.165	 0.078	064.32717	+08.82281
HD 36705B              	AB	M4V        	13.000	 0.100	 4.829	 0.102	15.168	 0.131	12.095	 0.107	082.18529	-65.44619
GJ 2022B               	AB	M5Ve     	15.500	 0.060	 4.945	 0.065	25.316	 0.820	13.483	 0.153	021.11579	-33.91867
HR 7590                	Ar	A0Va       	 3.953	 0.005	 0.007	 0.030	32.216	 0.176	 1.413	 0.024	300.14817	-72.91050
HR 4023                	Ar	A2Va       	 3.844	 0.005	 0.119	 0.030	31.075	 0.145	 1.382	 0.021	153.68400	-42.12194
HR 6037                	Ar	A4IV/V     	 5.943	 0.009	 0.175	 0.035	52.219	 1.145	 2.354	 0.096	244.27254	-67.94128
HR 4534                	Ar	A3Va       	 2.135	 0.012	 0.198	 0.032	11.000	 0.063	 1.928	 0.028	177.26492	+14.57206
HR 7736                	Ar	A0.5Va     	 4.942	 0.009	 0.424	 0.019	42.699	 0.401	 1.790	 0.042	303.63346	+36.80631
HD 123058              	Ar	F5V      	 7.739	 0.011	 0.764	 0.022	64.144	 3.333	 3.703	 0.226	211.87204	-61.56228
HD 84075               	Ar	G2V        	 8.592	 0.013	 1.117	 0.029	67.981	 2.773	 4.430	 0.178	144.07425	-78.34489
HD 43162               	Ar	G6V      	 6.366	 0.009	 1.237	 0.020	16.722	 0.137	 5.250	 0.037	093.43875	-23.86194
HD 61005               	Ar	G8Vk       	 8.218	 0.012	 1.313	 0.028	35.348	 1.062	 5.477	 0.131	113.94775	-32.20389
NY Aps                 	Ar	G9V        	 9.421	 0.020	 1.577	 0.033	50.302	 2.682	 5.913	 0.232	228.09767	-75.25433
BW Phe                 	Ar	K3Ve       	 8.992	 0.016	 1.952	 0.032	40.634	 2.708	 5.947	 0.290	014.23112	-51.87553
TYC 8641-1961-1        	Ar	K0IIIe     	11.015	 0.074	 2.308	 0.077	54.000	 3.000	 7.353	 0.252	184.26937	-57.73219
TYC 5174-242-1         	Ar	M0V        	11.525	 0.020	 2.935	 0.033	33.000	 2.000	 8.932	 0.264	304.14100	-07.19603
2MASS J04464970-6034109	Ar	M3V      	11.978	 0.070	 3.428	 0.073	37.000	 2.000	 9.137	 0.245	071.70708	-60.56972
2MASS J12092998-7505400	Ar	M3V        	13.600	 0.100	 3.689	 0.103	78.000	 4.000	 9.140	 0.244	182.37496	-75.09447
2MASS J19312434-2134226	Ar	M3V      	12.539	 0.010	 3.845	 0.022	26.000	 2.000	10.464	 0.334	292.85142	-21.57294
GJ 4282                	Ar	M3V+M3V	12.380	 0.100	 3.846	 0.103	32.000	 1.000	 9.854	 0.169	338.34442	-09.61492
HD 43162B              	Ar	M4V      	12.460	 0.100	 4.091	 0.104	16.000	 2.000	11.439	 0.552	093.43917	-23.86875
2MASS J10252563-4918389	Ar	M4V        	13.241	 0.110	 4.117	 0.117	27.000	 1.000	11.084	 0.195	156.35683	-49.31083
2MASS J09423823-6229028	Ar	M4V      	14.336	 0.010	 4.123	 0.030	30.000	 1.000	11.950	 0.145	145.65942	-62.48408
2MASS J19224278-0515536	Ar	K5V        	14.047	 0.060	 4.124	 0.064	45.000	 6.000	10.781	 0.582	290.67825	-05.26489
2MASS J05090356-4209199	Ar	M4V      	13.731	 0.010	 4.153	 0.024	51.000	 4.000	10.193	 0.341	077.26487	-42.15553
2MASS J23205766-0147373	Ar	M4V      	13.694	 0.010	 4.339	 0.026	41.000	 2.700	10.630	 0.286	350.24037	-01.79369
GJ 3928                	Ar	M4V+M7.0V	13.658	 0.030	 4.730	 0.036	13.000	 1.000	13.088	 0.335	238.88225	+35.20089
2MASS J23532520-7056410	Ar	M4V      	13.430	 0.100	 4.747	 0.103	17.000	 1.000	12.278	 0.274	358.35475	-70.94478
AP Col                 	Ar	M5Ve     	12.947	 0.060	 5.205	 0.066	 8.389	 0.069	13.329	 0.070	091.21725	-34.56008
2MASS J09445422-1220544	Ar	M5V        	13.750	 0.110	 5.254	 0.113	12.000	 1.000	13.354	 0.378	146.22592	-12.34844
HR 7329                	BP	A0Vn+M7.5V 	 5.043	 0.005	 0.035	 0.037	48.216	 0.488	 1.627	 0.044	290.71337	-54.42392
HR 6070                	BP	A1Va       	 4.784	 0.009	 0.048	 0.020	41.288	 0.375	 1.705	 0.040	244.57458	-28.61403
HR 789                 	BP	A1Vb       	 4.745	 0.005	 0.241	 0.025	35.689	 2.789	 1.982	 0.339	039.94996	-42.89167
HR 2020                	BP	A6V        	 3.845	 0.005	 0.364	 0.030	19.440	 0.045	 2.402	 0.011	086.82121	-51.06650
HR 7012                	BP	A7V        	 4.780	 0.007	 0.407	 0.031	28.547	 0.155	 2.502	 0.025	281.36208	-64.87125
HIP 88726              	BP	A6V+A7V    	 4.929	 0.025	 0.442	 0.030	41.841	 1.155	 1.821	 0.123	271.70787	-43.42522
HR 1474                	BP	F0IV       	 5.215	 0.009	 0.558	 0.038	29.429	 0.294	 2.871	 0.044	069.40054	-02.47356
HR 9                   	BP	F3V        	 6.172	 0.004	 0.721	 0.024	39.386	 0.589	 3.195	 0.065	001.70871	-23.10753
HD 181327              	BP	F6V        	 7.037	 0.010	 0.837	 0.026	51.813	 1.745	 3.465	 0.147	290.74558	-54.53806
HD 164249A             	BP	F6V        	 7.007	 0.010	 0.848	 0.022	48.146	 1.298	 3.594	 0.118	270.76421	-51.64900
HD 191089              	BP	F5V        	 7.181	 0.010	 0.860	 0.022	52.219	 1.227	 3.592	 0.103	302.27171	-26.22403
HD 14082               	BP	F7V        	 7.031	 0.011	 0.981	 0.028	37.600	 2.700	 4.155	 0.312	034.35537	+28.74506
HD 160305              	BP	G0V     	 8.357	 0.017	 1.012	 0.027	72.463	 4.568	 4.057	 0.274	265.45433	-50.72444
AF Lep                 	BP	F7V        	 6.296	 0.010	 1.028	 0.029	27.042	 0.351	 4.135	 0.057	081.76983	-11.90097
HD 199143              	BP	F7V+M2V    	 7.319	 0.012	 1.112	 0.023	45.662	 1.605	 4.021	 0.153	313.94862	-17.11417
HD 14082B              	BP	G3V        	 7.755	 0.013	 1.185	 0.025	37.600	 2.700	 4.879	 0.312	034.35304	+28.74175
HD 168210              	BP	G3IV       	 8.797	 0.019	 1.271	 0.030	72.569	 5.372	 4.493	 0.322	274.96754	-29.27578
V824 Ara               	BP	G5V+K1V    	 6.723	 0.020	 1.435	 0.038	31.447	 0.494	 4.235	 0.071	259.35625	-66.95103
CD-54 7336             	BP	K1V        	 9.529	 0.025	 1.588	 0.039	71.500	 5.500	 5.258	 0.335	262.47946	-54.26350
PZ Tel                 	BP	G9IV       	 8.461	 0.014	 1.605	 0.025	51.493	 2.599	 4.902	 0.220	283.27450	-50.18053
HD 161460              	BP	G9V        	 8.986	 0.018	 1.670	 0.029	76.800	 5.700	 4.559	 0.323	267.14058	-53.11206
HD 139084              	BP	K0V        	 8.153	 0.014	 1.771	 0.028	38.536	 1.693	 5.224	 0.191	234.73975	-57.70758
CD-26 13904            	BP	K4Ve       	10.270	 0.010	 2.189	 0.022	80.500	 6.600	 5.741	 0.356	287.93612	-26.06914
AG Tri                 	BP	K8V        	10.074	 0.042	 2.204	 0.054	39.952	 3.591	 7.066	 0.393	036.87187	+30.97350
BD+05 378              	BP	K5IVe      	10.223	 0.030	 2.319	 0.040	42.034	 2.650	 7.105	 0.275	040.35787	+05.98844
BD+17 232              	BP	K3Ve       	 9.891	 0.020	 2.412	 0.028	53.100	 3.800	 6.266	 0.311	024.41421	+18.59258
AO Men                 	BP	K4V      	 9.989	 0.036	 2.459	 0.041	38.551	 1.338	 7.059	 0.155	094.61754	-72.04486
V4046 Sgr              	BP	K5V+K7V    	10.680	 0.086	 2.609	 0.089	78.900	 6.400	 6.195	 0.363	273.54362	-32.79292
CD-64 1208             	BP	K5Ve       	 9.540	 0.010	 2.634	 0.023	28.547	 0.155	 7.262	 0.026	281.40429	-64.86281
FK Psc                 	BP	K7Ve       	10.842	 0.112	 2.704	 0.114	62.000	 4.600	 6.880	 0.341	005.89446	+20.24128
TYC 9114-1267-1        	BP	K7V        	10.591	 0.053	 2.711	 0.061	32.000	 2.000	 8.065	 0.277	320.36967	-66.91842
2MASS J19233820-4606316	BP	M0V        	11.877	 0.020	 2.765	 0.034	71.000	 4.000	 7.621	 0.245	290.90917	-46.10878
AZ Cap                 	BP	K5IVe+M2V  	10.620	 0.010	 2.771	 0.023	49.300	 3.600	 7.156	 0.317	314.01142	-17.18161
MV Vir                 	BP	K5Vkee   	10.222	 0.060	 2.792	 0.064	30.175	 4.462	 7.824	 0.645	213.58900	-15.35606
2MASS J22424896-7142211	BP	K7Ve       	10.600	 0.010	 2.809	 0.023	38.600	 2.800	 7.667	 0.315	340.70387	-71.70589
TYC 2211-1309-1        	BP	K8IVe      	11.366	 0.040	 2.810	 0.052	47.900	 3.500	 7.964	 0.320	330.17325	+27.25375
TYC 7443-1102-1        	BP	K9IVe      	11.589	 0.020	 2.879	 0.035	61.100	 4.400	 7.659	 0.313	299.01821	-32.12714
CD-31 16041            	BP	K8Ve       	11.200	 0.010	 2.886	 0.023	52.300	 3.900	 7.607	 0.324	282.68533	-31.79650
TYC 6872-1011-1        	BP	M0Ve       	11.780	 0.010	 2.917	 0.023	76.000	 5.000	 7.376	 0.286	284.51733	-29.88464
V1005 Ori              	BP	K8IVe      	10.061	 0.040	 2.944	 0.045	25.880	 1.701	 7.996	 0.288	074.89512	+01.78353
FK Ser                 	BP	K6IVe      	10.620	 0.050	 2.984	 0.054	61.000	 6.000	 6.693	 0.430	275.09479	-10.18711
CD-57 1054             	BP	K8Ve       	10.105	 0.040	 3.010	 0.046	26.781	 0.810	 7.966	 0.137	075.19637	-57.25708
2MASS J17150219-3333398	BP	M0V        	10.933	 0.063	 3.013	 0.067	23.000	 1.000	 9.124	 0.199	258.75917	-33.56106
HIP 11152              	BP	M1V        	11.250	 0.030	 3.068	 0.035	28.686	 2.337	 8.962	 0.355	035.86100	+22.73519
BD-13 6424             	BP	M0Ve       	10.540	 0.010	 3.090	 0.023	28.300	 2.000	 8.281	 0.307	353.12858	-12.26431
2MASS J20013718-3313139	BP	M1V        	12.374	 0.030	 3.219	 0.038	64.600	 4.800	 8.323	 0.324	300.40492	-33.22056
2MASS J01132817-3821024	BP	M3V      	11.716	 0.020	 3.229	 0.029	29.000	 2.000	 9.404	 0.300	018.36737	-38.35072
GJ 3305                	BP	M0Ve       	10.534	 0.020	 3.235	 0.028	29.429	 0.294	 8.190	 0.048	069.40612	-02.49122
TYC 5853-1318-1        	BP	M1V        	11.457	 0.070	 3.308	 0.073	54.200	 4.000	 7.787	 0.328	016.79979	-19.59336
AU Mic                 	BP	M0Ve       	 8.757	 0.022	 3.321	 0.028	 9.910	 0.104	 8.777	 0.051	311.28971	-31.34089
TYC 9073-762-1         	BP	M1Ve       	12.080	 0.100	 3.334	 0.102	54.900	 4.000	 8.382	 0.332	281.71896	-62.17683
2MASS J18142207-3246100	BP	M1Ve       	12.780	 0.100	 3.337	 0.103	85.500	 9.900	 8.120	 0.513	273.59196	-32.76947
BD-21 1074             	BP	M3Ve     	10.410	 0.020	 3.364	 0.029	19.238	 0.481	 8.989	 0.110	076.70800	-21.58589
DZ Cha                 	BP	M0Ve       	12.900	 0.100	 3.451	 0.102	68.000	 6.000	 8.737	 0.396	177.38267	-78.85031
HD 164249B             	BP	M2Ve       	12.500	 0.100	 3.590	 0.123	48.146	 1.298	 9.087	 0.154	270.76704	-51.64894
V962 Per               	BP	M2V        	13.318	 0.090	 3.607	 0.093	59.000	 5.000	 9.464	 0.379	070.98696	+37.38425
BD+30 397B             	BP	M0V        	12.440	 0.020	 3.623	 0.047	39.952	 3.591	 9.432	 0.391	036.86687	+30.97792
2MASS J21100535-1919573	BP	M2V        	11.740	 0.040	 3.628	 0.050	32.000	 2.000	 9.214	 0.274	317.52233	-19.33261
2MASS J13545390-7121476	BP	M3V      	12.244	 0.010	 3.695	 0.025	21.000	 1.000	10.633	 0.207	208.72458	-71.36325
2MASS J16572029-5343316	BP	M3V        	12.411	 0.010	 3.717	 0.023	51.000	 3.000	 8.873	 0.256	254.33458	-53.72547
2MASS J05335981-0221325	BP	M3V        	12.418	 0.050	 3.854	 0.055	41.900	 3.300	 9.307	 0.346	083.49925	-02.35900
2MASS J18151564-4927472	BP	M3V        	12.838	 0.030	 3.914	 0.036	61.000	 4.000	 8.911	 0.286	273.81517	-49.46311
2MASS J00172353-6645124	BP	M3V      	12.494	 0.040	 3.931	 0.045	39.047	 2.638	 9.536	 0.296	004.34808	-66.75347
2MASS J17292067-5014529	BP	M3Ve       	12.811	 0.010	 3.943	 0.031	66.000	 4.000	 8.713	 0.263	262.33612	-50.24806
GJ 4326                	BP	M3V        	12.052	 0.010	 4.032	 0.026	12.000	 1.000	11.656	 0.362	349.36696	+19.61303
GJ 2006A               	BP	M4Ve     	12.950	 0.020	 4.068	 0.038	32.289	 1.835	10.405	 0.248	006.95929	-32.55178
2MASS J01535076-1459503	BP	M3V        	12.013	 0.060	 4.075	 0.066	28.000	 2.000	 9.777	 0.316	028.46154	-14.99731
BD-21 1074B            	BP	M3Ve     	11.080	 0.050	 4.077	 0.054	19.238	 0.481	 9.659	 0.120	076.70612	-21.58439
2MASS J19102820-2319486	BP	M4V        	13.222	 0.010	 4.121	 0.023	69.200	 3.400	 9.021	 0.214	287.61754	-23.33017
2MASS J18420694-5554254	BP	M4V      	13.620	 0.100	 4.132	 0.103	54.000	 4.000	 9.958	 0.337	280.52896	-55.90708
2MASS J08173943-8243298	BP	M4V      	11.621	 0.069	 4.152	 0.073	27.000	 2.000	 9.464	 0.329	124.41433	-82.72494
GJ 3322A               	BP	M4IVe      	12.460	 0.070	 4.160	 0.074	24.888	 1.282	10.480	 0.234	075.49496	+09.98314
GJ 3322C               	BP	UKW          	12.460	 0.070	 4.160	 0.074	24.888	 1.282	10.480	 0.234	075.49496	+09.98314
2MASS J02394829-4253049	BP	M5V      	13.480	 0.100	 4.243	 0.106	35.689	 2.789	10.717	 0.354	039.95137	-42.88478
2MASS J19560294-3207186	BP	M4V        	13.230	 0.040	 4.271	 0.048	55.000	 4.000	 9.528	 0.318	299.01225	-32.12186
GJ 2006B               	BP	M4Ve     	13.250	 0.030	 4.277	 0.040	32.289	 1.835	10.705	 0.249	006.95979	-32.55664
HD 155555C             	BP	M3Ve       	12.820	 0.100	 4.278	 0.104	31.447	 0.494	10.332	 0.121	259.38037	-66.95153
2MASS J20434114-2433534	BP	M4V+M4V  	12.880	 0.100	 4.283	 0.102	28.100	 3.900	10.636	 0.611	310.92142	-24.56478
2MASS J01365516-0647379	BP	M4V      	13.997	 0.110	 4.290	 0.112	24.000	 0.400	12.096	 0.132	024.22987	-06.79386
2MASS J06131330-2742054	BP	M4V        	12.300	 0.030	 4.298	 0.045	29.377	 0.863	 9.960	 0.131	093.30546	-27.70156
WW PsA                 	BP	M4IVe      	12.099	 0.010	 4.313	 0.021	23.343	 1.967	10.258	 0.366	341.24154	-33.25047
2MASS J20100002-2801410	BP	M4Ve       	12.988	 0.020	 4.337	 0.030	47.962	 3.059	 9.584	 0.278	302.50017	-28.02806
2MASS J23500639+2659519	BP	M4V        	14.547	 0.020	 4.405	 0.028	23.000	 2.000	12.738	 0.378	357.52662	+26.99775
AT Mic                 	BP	M4Ve+M4Ve  	10.240	 0.020	 4.433	 0.033	10.695	 0.420	10.094	 0.172	310.46317	-32.43522
2MASS J23512227+2344207	BP	M4V        	14.178	 0.050	 4.495	 0.055	16.000	 1.000	13.157	 0.276	357.84283	+23.73911
2MASS J03323578+2843554	BP	M4V        	13.880	 0.010	 4.523	 0.023	55.000	 4.000	10.178	 0.316	053.14912	+28.73203
2MASS J05294468-3239141	BP	M5V      	13.740	 0.070	 4.525	 0.075	26.185	 1.104	11.650	 0.196	082.43617	-32.65394
2MASS J19243494-3442392	BP	M4V        	14.300	 0.010	 4.630	 0.025	55.000	 3.000	10.598	 0.237	291.14562	-34.71092
